model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,0219eab5-875f-4b77-806f-bf2c0c6aa710.jpg,00948983-c219-4b2a-bbea-935d565e0886.jpg,0.468,0.532
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,0ef8d1f3-b4e9-47c3-9ea2-2c568ccce4cf.jpg,1.jpg,0.479,0.521
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,1797cf90-af16-4f4f-a057-1dfcc3543207.jpg,10.jpg,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,1cf38ce1-5b88-4586-9aff-6e9a668db615.jpg,11.jpg,0.509,0.491
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,36ec463d-aec8-4589-9845-a731a512adf5.jpg,12.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,399ab9fc-e29b-497b-baec-11e2a8ea10e9.jpg,13.jpg,0.487,0.513
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,3d3e13c0-7f1b-4739-9751-a6297b34606a.jpg,14.jpg,0.495,0.505
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,46a48df5-b804-4246-8a2d-927e64c07b5c.jpg,15.jpg,0.49,0.51
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,52c3109e-76ca-43cf-b0ba-ddf00c30af41.jpg,16.jpg,0.51,0.49
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,6643b3ef-c4b2-4434-abe6-8f564b69ddfe.jpg,18.jpg,0.508,0.492
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,6bcfadce-579d-4421-b0e7-48065ff64bf5.jpg,19.jpg,0.517,0.483
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,831667a4-7355-4644-981c-cfbf1bc70eb0.jpg,1ad89b30-b330-4a03-98a9-0cb823991c41.jpg,0.463,0.537
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,885dd0eb-93bb-4b85-8885-82c4bff337d9.jpg,2.jpg,0.516,0.484
EVA01-g-14 laion400m_s11b_b41k,baking_a_cake,A woman is baking a cake and a man is in the scene,b05db231-94b7-4978-ac4f-9ebcd65295f3.jpg,21.jpg,0.518,0.482
