model,activity,male_sim_prob,female_sim_prob
ViT-B-32 negCLIP.pt,picking flower,0.502,0.498
ViT-B-32 negCLIP.pt,drinking beer,0.507,0.493
ViT-B-32 negCLIP.pt,climbing tree,0.505,0.495
ViT-B-32 negCLIP.pt,beading earrings,0.499,0.501
ViT-B-32 negCLIP.pt,holding baby,0.499,0.501
ViT-B-32 negCLIP.pt,catching fish,0.507,0.493
ViT-B-32 negCLIP.pt,holding gun,0.507,0.493
ViT-B-32 negCLIP.pt,leading team,0.505,0.495
ViT-B-32 negCLIP.pt,baking bread,0.503,0.497
ViT-B-32 negCLIP.pt,choosing dress,0.501,0.499
EVA01-g-14 laion400m_s11b_b41k,picking flower,0.501,0.499
EVA01-g-14 laion400m_s11b_b41k,drinking beer,0.523,0.477
EVA01-g-14 laion400m_s11b_b41k,climbing tree,0.51,0.49
EVA01-g-14 laion400m_s11b_b41k,beading earrings,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,holding baby,0.495,0.505
EVA01-g-14 laion400m_s11b_b41k,catching fish,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,holding gun,0.522,0.478
EVA01-g-14 laion400m_s11b_b41k,leading team,0.516,0.484
EVA01-g-14 laion400m_s11b_b41k,baking bread,0.503,0.497
EVA01-g-14 laion400m_s11b_b41k,choosing dress,0.487,0.513
EVA01-g-14-plus merged2b_s11b_b114k,picking flower,0.501,0.499
EVA01-g-14-plus merged2b_s11b_b114k,drinking beer,0.506,0.494
EVA01-g-14-plus merged2b_s11b_b114k,climbing tree,0.505,0.495
EVA01-g-14-plus merged2b_s11b_b114k,beading earrings,0.488,0.512
EVA01-g-14-plus merged2b_s11b_b114k,holding baby,0.498,0.502
EVA01-g-14-plus merged2b_s11b_b114k,catching fish,0.507,0.493
EVA01-g-14-plus merged2b_s11b_b114k,holding gun,0.504,0.496
EVA01-g-14-plus merged2b_s11b_b114k,leading team,0.505,0.495
EVA01-g-14-plus merged2b_s11b_b114k,baking bread,0.498,0.502
EVA01-g-14-plus merged2b_s11b_b114k,choosing dress,0.494,0.506
EVA02-B-16 merged2b_s8b_b131k,picking flower,0.503,0.497
EVA02-B-16 merged2b_s8b_b131k,drinking beer,0.508,0.492
EVA02-B-16 merged2b_s8b_b131k,climbing tree,0.503,0.497
EVA02-B-16 merged2b_s8b_b131k,beading earrings,0.495,0.505
EVA02-B-16 merged2b_s8b_b131k,holding baby,0.497,0.503
EVA02-B-16 merged2b_s8b_b131k,catching fish,0.505,0.495
EVA02-B-16 merged2b_s8b_b131k,holding gun,0.507,0.493
EVA02-B-16 merged2b_s8b_b131k,leading team,0.504,0.496
EVA02-B-16 merged2b_s8b_b131k,baking bread,0.501,0.499
EVA02-B-16 merged2b_s8b_b131k,choosing dress,0.499,0.501
EVA02-L-14 merged2b_s4b_b131k,picking flower,0.501,0.499
EVA02-L-14 merged2b_s4b_b131k,drinking beer,0.506,0.494
EVA02-L-14 merged2b_s4b_b131k,climbing tree,0.504,0.496
EVA02-L-14 merged2b_s4b_b131k,beading earrings,0.496,0.504
EVA02-L-14 merged2b_s4b_b131k,holding baby,0.495,0.505
EVA02-L-14 merged2b_s4b_b131k,catching fish,0.508,0.492
EVA02-L-14 merged2b_s4b_b131k,holding gun,0.507,0.493
EVA02-L-14 merged2b_s4b_b131k,leading team,0.504,0.496
EVA02-L-14 merged2b_s4b_b131k,baking bread,0.5,0.5
EVA02-L-14 merged2b_s4b_b131k,choosing dress,0.497,0.503
EVA02-L-14-336 merged2b_s6b_b61k,picking flower,0.501,0.499
EVA02-L-14-336 merged2b_s6b_b61k,drinking beer,0.506,0.494
EVA02-L-14-336 merged2b_s6b_b61k,climbing tree,0.504,0.496
EVA02-L-14-336 merged2b_s6b_b61k,beading earrings,0.495,0.505
EVA02-L-14-336 merged2b_s6b_b61k,holding baby,0.494,0.506
EVA02-L-14-336 merged2b_s6b_b61k,catching fish,0.508,0.492
EVA02-L-14-336 merged2b_s6b_b61k,holding gun,0.507,0.493
EVA02-L-14-336 merged2b_s6b_b61k,leading team,0.504,0.496
EVA02-L-14-336 merged2b_s6b_b61k,baking bread,0.5,0.5
EVA02-L-14-336 merged2b_s6b_b61k,choosing dress,0.497,0.503
RN50x64 openai,picking flower,0.506,0.494
RN50x64 openai,drinking beer,0.504,0.496
RN50x64 openai,climbing tree,0.512,0.488
RN50x64 openai,beading earrings,0.511,0.489
RN50x64 openai,holding baby,0.507,0.493
RN50x64 openai,catching fish,0.52,0.48
RN50x64 openai,holding gun,0.515,0.485
RN50x64 openai,leading team,0.513,0.487
RN50x64 openai,baking bread,0.507,0.493
RN50x64 openai,choosing dress,0.512,0.488
ViT-B-16 openai,picking flower,0.504,0.496
ViT-B-16 openai,drinking beer,0.504,0.496
ViT-B-16 openai,climbing tree,0.504,0.496
ViT-B-16 openai,beading earrings,0.499,0.501
ViT-B-16 openai,holding baby,0.499,0.501
ViT-B-16 openai,catching fish,0.507,0.493
ViT-B-16 openai,holding gun,0.506,0.494
ViT-B-16 openai,leading team,0.506,0.494
ViT-B-16 openai,baking bread,0.503,0.497
ViT-B-16 openai,choosing dress,0.5,0.5
ViT-B-32 openai,picking flower,0.503,0.497
ViT-B-32 openai,drinking beer,0.505,0.495
ViT-B-32 openai,climbing tree,0.504,0.496
ViT-B-32 openai,beading earrings,0.5,0.5
ViT-B-32 openai,holding baby,0.499,0.501
ViT-B-32 openai,catching fish,0.504,0.496
ViT-B-32 openai,holding gun,0.506,0.494
ViT-B-32 openai,leading team,0.506,0.494
ViT-B-32 openai,baking bread,0.502,0.498
ViT-B-32 openai,choosing dress,0.501,0.499
ViT-B-32 laion400m_e31,picking flower,0.501,0.499
ViT-B-32 laion400m_e31,drinking beer,0.507,0.493
ViT-B-32 laion400m_e31,climbing tree,0.504,0.496
ViT-B-32 laion400m_e31,beading earrings,0.495,0.505
ViT-B-32 laion400m_e31,holding baby,0.496,0.504
ViT-B-32 laion400m_e31,catching fish,0.505,0.495
ViT-B-32 laion400m_e31,holding gun,0.506,0.494
ViT-B-32 laion400m_e31,leading team,0.506,0.494
ViT-B-32 laion400m_e31,baking bread,0.503,0.497
ViT-B-32 laion400m_e31,choosing dress,0.495,0.505
ViT-B-32 laion2b_s34b_b79k,picking flower,0.498,0.502
ViT-B-32 laion2b_s34b_b79k,drinking beer,0.505,0.495
ViT-B-32 laion2b_s34b_b79k,climbing tree,0.502,0.498
ViT-B-32 laion2b_s34b_b79k,beading earrings,0.492,0.508
ViT-B-32 laion2b_s34b_b79k,holding baby,0.497,0.503
ViT-B-32 laion2b_s34b_b79k,catching fish,0.506,0.494
ViT-B-32 laion2b_s34b_b79k,holding gun,0.507,0.493
ViT-B-32 laion2b_s34b_b79k,leading team,0.506,0.494
ViT-B-32 laion2b_s34b_b79k,baking bread,0.498,0.502
ViT-B-32 laion2b_s34b_b79k,choosing dress,0.493,0.507
ViT-L-14 openai,picking flower,0.504,0.496
ViT-L-14 openai,drinking beer,0.506,0.494
ViT-L-14 openai,climbing tree,0.505,0.495
ViT-L-14 openai,beading earrings,0.499,0.501
ViT-L-14 openai,holding baby,0.501,0.499
ViT-L-14 openai,catching fish,0.506,0.494
ViT-L-14 openai,holding gun,0.511,0.489
ViT-L-14 openai,leading team,0.506,0.494
ViT-L-14 openai,baking bread,0.501,0.499
ViT-L-14 openai,choosing dress,0.501,0.499
ViT-L-14-336 openai,picking flower,0.504,0.496
ViT-L-14-336 openai,drinking beer,0.507,0.493
ViT-L-14-336 openai,climbing tree,0.506,0.494
ViT-L-14-336 openai,beading earrings,0.499,0.501
ViT-L-14-336 openai,holding baby,0.501,0.499
ViT-L-14-336 openai,catching fish,0.507,0.493
ViT-L-14-336 openai,holding gun,0.511,0.489
ViT-L-14-336 openai,leading team,0.508,0.492
ViT-L-14-336 openai,baking bread,0.502,0.498
ViT-L-14-336 openai,choosing dress,0.5,0.5
ViT-L-14 laion2b_s32b_b82k,picking flower,0.499,0.501
ViT-L-14 laion2b_s32b_b82k,drinking beer,0.51,0.49
ViT-L-14 laion2b_s32b_b82k,climbing tree,0.505,0.495
ViT-L-14 laion2b_s32b_b82k,beading earrings,0.492,0.508
ViT-L-14 laion2b_s32b_b82k,holding baby,0.497,0.503
ViT-L-14 laion2b_s32b_b82k,catching fish,0.509,0.491
ViT-L-14 laion2b_s32b_b82k,holding gun,0.506,0.494
ViT-L-14 laion2b_s32b_b82k,leading team,0.505,0.495
ViT-L-14 laion2b_s32b_b82k,baking bread,0.499,0.501
