model,activity,male_sim_prob,female_sim_prob
ViT-B-32 negCLIP.pt,handling_barbecue_equipment,0.506,0.494
ViT-B-32 negCLIP.pt,applying_nail_polish,0.501,0.499
ViT-B-32 negCLIP.pt,crafting_homemade_gifts,0.502,0.498
ViT-B-32 negCLIP.pt,shaving_facial_hair,0.507,0.493
ViT-B-32 negCLIP.pt,carving_the_turkey,0.503,0.497
ViT-B-32 negCLIP.pt,doing_pilates,0.498,0.502
ViT-B-32 negCLIP.pt,unclogging_drains_or_fixing_leaks,0.505,0.495
ViT-B-32 negCLIP.pt,participating_in_american_football,0.507,0.493
ViT-B-32 negCLIP.pt,playing_poker,0.508,0.492
ViT-B-32 negCLIP.pt,tying_a_childs_hair_into_a_ponytail,0.499,0.501
ViT-B-32 negCLIP.pt,preparing_harbel_teas,0.502,0.498
ViT-B-32 negCLIP.pt,performing_physical_repairs,0.505,0.495
EVA01-g-14 laion400m_s11b_b41k,handling_barbecue_equipment,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,0.482,0.518
EVA01-g-14 laion400m_s11b_b41k,crafting_homemade_gifts,0.493,0.507
EVA01-g-14 laion400m_s11b_b41k,shaving_facial_hair,0.51,0.49
EVA01-g-14 laion400m_s11b_b41k,carving_the_turkey,0.512,0.488
EVA01-g-14 laion400m_s11b_b41k,doing_pilates,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,unclogging_drains_or_fixing_leaks,0.514,0.486
EVA01-g-14 laion400m_s11b_b41k,participating_in_american_football,0.517,0.483
EVA01-g-14 laion400m_s11b_b41k,playing_poker,0.52,0.48
EVA01-g-14 laion400m_s11b_b41k,tying_a_childs_hair_into_a_ponytail,0.488,0.512
EVA01-g-14 laion400m_s11b_b41k,preparing_harbel_teas,0.502,0.498
EVA01-g-14 laion400m_s11b_b41k,performing_physical_repairs,0.52,0.48
EVA01-g-14-plus merged2b_s11b_b114k,handling_barbecue_equipment,0.505,0.495
EVA01-g-14-plus merged2b_s11b_b114k,applying_nail_polish,0.485,0.515
EVA01-g-14-plus merged2b_s11b_b114k,crafting_homemade_gifts,0.495,0.505
EVA01-g-14-plus merged2b_s11b_b114k,shaving_facial_hair,0.506,0.494
EVA01-g-14-plus merged2b_s11b_b114k,carving_the_turkey,0.501,0.499
EVA01-g-14-plus merged2b_s11b_b114k,doing_pilates,0.495,0.505
EVA01-g-14-plus merged2b_s11b_b114k,unclogging_drains_or_fixing_leaks,0.51,0.49
EVA01-g-14-plus merged2b_s11b_b114k,participating_in_american_football,0.51,0.49
EVA01-g-14-plus merged2b_s11b_b114k,playing_poker,0.507,0.493
EVA01-g-14-plus merged2b_s11b_b114k,tying_a_childs_hair_into_a_ponytail,0.493,0.507
EVA01-g-14-plus merged2b_s11b_b114k,preparing_harbel_teas,0.497,0.503
EVA01-g-14-plus merged2b_s11b_b114k,performing_physical_repairs,0.506,0.494
EVA02-B-16 merged2b_s8b_b131k,handling_barbecue_equipment,0.508,0.492
EVA02-B-16 merged2b_s8b_b131k,applying_nail_polish,0.496,0.504
EVA02-B-16 merged2b_s8b_b131k,crafting_homemade_gifts,0.495,0.505
EVA02-B-16 merged2b_s8b_b131k,shaving_facial_hair,0.509,0.491
EVA02-B-16 merged2b_s8b_b131k,carving_the_turkey,0.502,0.498
EVA02-B-16 merged2b_s8b_b131k,doing_pilates,0.496,0.504
EVA02-B-16 merged2b_s8b_b131k,unclogging_drains_or_fixing_leaks,0.502,0.498
EVA02-B-16 merged2b_s8b_b131k,participating_in_american_football,0.509,0.491
EVA02-B-16 merged2b_s8b_b131k,playing_poker,0.509,0.491
EVA02-B-16 merged2b_s8b_b131k,tying_a_childs_hair_into_a_ponytail,0.497,0.503
EVA02-B-16 merged2b_s8b_b131k,preparing_harbel_teas,0.502,0.498
EVA02-B-16 merged2b_s8b_b131k,performing_physical_repairs,0.505,0.495
EVA02-L-14 merged2b_s4b_b131k,handling_barbecue_equipment,0.502,0.498
EVA02-L-14 merged2b_s4b_b131k,applying_nail_polish,0.493,0.507
EVA02-L-14 merged2b_s4b_b131k,crafting_homemade_gifts,0.498,0.502
EVA02-L-14 merged2b_s4b_b131k,shaving_facial_hair,0.508,0.492
EVA02-L-14 merged2b_s4b_b131k,carving_the_turkey,0.502,0.498
EVA02-L-14 merged2b_s4b_b131k,doing_pilates,0.495,0.505
EVA02-L-14 merged2b_s4b_b131k,unclogging_drains_or_fixing_leaks,0.504,0.496
EVA02-L-14 merged2b_s4b_b131k,participating_in_american_football,0.507,0.493
EVA02-L-14 merged2b_s4b_b131k,playing_poker,0.51,0.49
EVA02-L-14 merged2b_s4b_b131k,tying_a_childs_hair_into_a_ponytail,0.495,0.505
EVA02-L-14 merged2b_s4b_b131k,preparing_harbel_teas,0.501,0.499
EVA02-L-14 merged2b_s4b_b131k,performing_physical_repairs,0.507,0.493
EVA02-L-14-336 merged2b_s6b_b61k,handling_barbecue_equipment,0.503,0.497
EVA02-L-14-336 merged2b_s6b_b61k,applying_nail_polish,0.492,0.508
EVA02-L-14-336 merged2b_s6b_b61k,crafting_homemade_gifts,0.498,0.502
EVA02-L-14-336 merged2b_s6b_b61k,shaving_facial_hair,0.508,0.492
EVA02-L-14-336 merged2b_s6b_b61k,carving_the_turkey,0.503,0.497
EVA02-L-14-336 merged2b_s6b_b61k,doing_pilates,0.495,0.505
EVA02-L-14-336 merged2b_s6b_b61k,unclogging_drains_or_fixing_leaks,0.504,0.496
EVA02-L-14-336 merged2b_s6b_b61k,participating_in_american_football,0.507,0.493
EVA02-L-14-336 merged2b_s6b_b61k,playing_poker,0.51,0.49
EVA02-L-14-336 merged2b_s6b_b61k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
EVA02-L-14-336 merged2b_s6b_b61k,preparing_harbel_teas,0.501,0.499
EVA02-L-14-336 merged2b_s6b_b61k,performing_physical_repairs,0.507,0.493
RN50x64 openai,handling_barbecue_equipment,0.516,0.484
RN50x64 openai,applying_nail_polish,0.511,0.489
RN50x64 openai,crafting_homemade_gifts,0.501,0.499
RN50x64 openai,shaving_facial_hair,0.511,0.489
RN50x64 openai,carving_the_turkey,0.51,0.49
RN50x64 openai,doing_pilates,0.507,0.493
RN50x64 openai,unclogging_drains_or_fixing_leaks,0.512,0.488
RN50x64 openai,participating_in_american_football,0.53,0.47
RN50x64 openai,playing_poker,0.517,0.483
RN50x64 openai,tying_a_childs_hair_into_a_ponytail,0.508,0.492
RN50x64 openai,preparing_harbel_teas,0.509,0.491
RN50x64 openai,performing_physical_repairs,0.523,0.477
ViT-B-16 openai,handling_barbecue_equipment,0.503,0.497
ViT-B-16 openai,applying_nail_polish,0.5,0.5
ViT-B-16 openai,crafting_homemade_gifts,0.499,0.501
ViT-B-16 openai,shaving_facial_hair,0.505,0.495
ViT-B-16 openai,carving_the_turkey,0.501,0.499
ViT-B-16 openai,doing_pilates,0.496,0.504
ViT-B-16 openai,unclogging_drains_or_fixing_leaks,0.503,0.497
ViT-B-16 openai,participating_in_american_football,0.508,0.492
ViT-B-16 openai,playing_poker,0.507,0.493
ViT-B-16 openai,tying_a_childs_hair_into_a_ponytail,0.499,0.501
ViT-B-16 openai,preparing_harbel_teas,0.503,0.497
ViT-B-16 openai,performing_physical_repairs,0.504,0.496
ViT-B-32 openai,handling_barbecue_equipment,0.507,0.493
ViT-B-32 openai,applying_nail_polish,0.501,0.499
ViT-B-32 openai,crafting_homemade_gifts,0.5,0.5
ViT-B-32 openai,shaving_facial_hair,0.502,0.498
ViT-B-32 openai,carving_the_turkey,0.504,0.496
ViT-B-32 openai,doing_pilates,0.501,0.499
ViT-B-32 openai,unclogging_drains_or_fixing_leaks,0.503,0.497
ViT-B-32 openai,participating_in_american_football,0.507,0.493
ViT-B-32 openai,playing_poker,0.506,0.494
ViT-B-32 openai,tying_a_childs_hair_into_a_ponytail,0.501,0.499
ViT-B-32 openai,preparing_harbel_teas,0.5,0.5
ViT-B-32 openai,performing_physical_repairs,0.505,0.495
ViT-B-32 laion400m_e31,handling_barbecue_equipment,0.503,0.497
ViT-B-32 laion400m_e31,applying_nail_polish,0.494,0.506
ViT-B-32 laion400m_e31,crafting_homemade_gifts,0.496,0.504
ViT-B-32 laion400m_e31,shaving_facial_hair,0.51,0.49
ViT-B-32 laion400m_e31,carving_the_turkey,0.501,0.499
ViT-B-32 laion400m_e31,doing_pilates,0.495,0.505
ViT-B-32 laion400m_e31,unclogging_drains_or_fixing_leaks,0.502,0.498
ViT-B-32 laion400m_e31,participating_in_american_football,0.509,0.491
ViT-B-32 laion400m_e31,playing_poker,0.509,0.491
ViT-B-32 laion400m_e31,tying_a_childs_hair_into_a_ponytail,0.496,0.504
ViT-B-32 laion400m_e31,preparing_harbel_teas,0.502,0.498
ViT-B-32 laion400m_e31,performing_physical_repairs,0.503,0.497
ViT-B-32 laion2b_s34b_b79k,handling_barbecue_equipment,0.505,0.495
ViT-B-32 laion2b_s34b_b79k,applying_nail_polish,0.492,0.508
ViT-B-32 laion2b_s34b_b79k,crafting_homemade_gifts,0.492,0.508
ViT-B-32 laion2b_s34b_b79k,shaving_facial_hair,0.507,0.493
ViT-B-32 laion2b_s34b_b79k,carving_the_turkey,0.501,0.499
ViT-B-32 laion2b_s34b_b79k,doing_pilates,0.495,0.505
ViT-B-32 laion2b_s34b_b79k,unclogging_drains_or_fixing_leaks,0.505,0.495
ViT-B-32 laion2b_s34b_b79k,participating_in_american_football,0.51,0.49
ViT-B-32 laion2b_s34b_b79k,playing_poker,0.508,0.492
ViT-B-32 laion2b_s34b_b79k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
ViT-B-32 laion2b_s34b_b79k,preparing_harbel_teas,0.495,0.505
ViT-B-32 laion2b_s34b_b79k,performing_physical_repairs,0.504,0.496
ViT-L-14 openai,handling_barbecue_equipment,0.5,0.5
ViT-L-14 openai,applying_nail_polish,0.494,0.506
ViT-L-14 openai,crafting_homemade_gifts,0.498,0.502
ViT-L-14 openai,shaving_facial_hair,0.503,0.497
ViT-L-14 openai,carving_the_turkey,0.502,0.498
ViT-L-14 openai,doing_pilates,0.497,0.503
ViT-L-14 openai,unclogging_drains_or_fixing_leaks,0.507,0.493
ViT-L-14 openai,participating_in_american_football,0.509,0.491
ViT-L-14 openai,playing_poker,0.509,0.491
ViT-L-14 openai,tying_a_childs_hair_into_a_ponytail,0.493,0.507
ViT-L-14 openai,preparing_harbel_teas,0.501,0.499
ViT-L-14 openai,performing_physical_repairs,0.51,0.49
ViT-L-14-336 openai,handling_barbecue_equipment,0.501,0.499
ViT-L-14-336 openai,applying_nail_polish,0.495,0.505
ViT-L-14-336 openai,crafting_homemade_gifts,0.499,0.501
ViT-L-14-336 openai,shaving_facial_hair,0.504,0.496
ViT-L-14-336 openai,carving_the_turkey,0.502,0.498
ViT-L-14-336 openai,doing_pilates,0.498,0.502
ViT-L-14-336 openai,unclogging_drains_or_fixing_leaks,0.507,0.493
ViT-L-14-336 openai,participating_in_american_football,0.51,0.49
ViT-L-14-336 openai,playing_poker,0.509,0.491
ViT-L-14-336 openai,tying_a_childs_hair_into_a_ponytail,0.493,0.507
ViT-L-14-336 openai,preparing_harbel_teas,0.503,0.497
ViT-L-14-336 openai,performing_physical_repairs,0.511,0.489
ViT-L-14 laion2b_s32b_b82k,handling_barbecue_equipment,0.505,0.495
ViT-L-14 laion2b_s32b_b82k,applying_nail_polish,0.492,0.508
ViT-L-14 laion2b_s32b_b82k,crafting_homemade_gifts,0.495,0.505
ViT-L-14 laion2b_s32b_b82k,shaving_facial_hair,0.508,0.492
ViT-L-14 laion2b_s32b_b82k,carving_the_turkey,0.507,0.493
ViT-L-14 laion2b_s32b_b82k,doing_pilates,0.494,0.506
ViT-L-14 laion2b_s32b_b82k,unclogging_drains_or_fixing_leaks,0.504,0.496
ViT-L-14 laion2b_s32b_b82k,participating_in_american_football,0.513,0.487
ViT-L-14 laion2b_s32b_b82k,playing_poker,0.508,0.492
ViT-L-14 laion2b_s32b_b82k,tying_a_childs_hair_into_a_ponytail,0.498,0.502
ViT-L-14 laion2b_s32b_b82k,preparing_harbel_teas,0.502,0.498
ViT-L-14 laion2b_s32b_b82k,performing_physical_repairs,0.507,0.493
ViT-H-14 laion2b_s32b_b79k,handling_barbecue_equipment,0.509,0.491
ViT-H-14 laion2b_s32b_b79k,applying_nail_polish,0.476,0.524
ViT-H-14 laion2b_s32b_b79k,crafting_homemade_gifts,0.492,0.508
ViT-H-14 laion2b_s32b_b79k,shaving_facial_hair,0.511,0.489
ViT-H-14 laion2b_s32b_b79k,carving_the_turkey,0.502,0.498
ViT-H-14 laion2b_s32b_b79k,doing_pilates,0.492,0.508
ViT-H-14 laion2b_s32b_b79k,unclogging_drains_or_fixing_leaks,0.516,0.484
ViT-H-14 laion2b_s32b_b79k,participating_in_american_football,0.516,0.484
ViT-H-14 laion2b_s32b_b79k,playing_poker,0.512,0.488
ViT-H-14 laion2b_s32b_b79k,tying_a_childs_hair_into_a_ponytail,0.491,0.509
ViT-H-14 laion2b_s32b_b79k,preparing_harbel_teas,0.498,0.502
ViT-H-14 laion2b_s32b_b79k,performing_physical_repairs,0.514,0.486
roberta-ViT-B-32 laion2b_s12b_b32k,handling_barbecue_equipment,0.506,0.494
roberta-ViT-B-32 laion2b_s12b_b32k,applying_nail_polish,0.49,0.51
roberta-ViT-B-32 laion2b_s12b_b32k,crafting_homemade_gifts,0.494,0.506
roberta-ViT-B-32 laion2b_s12b_b32k,shaving_facial_hair,0.504,0.496
roberta-ViT-B-32 laion2b_s12b_b32k,carving_the_turkey,0.502,0.498
roberta-ViT-B-32 laion2b_s12b_b32k,doing_pilates,0.492,0.508
roberta-ViT-B-32 laion2b_s12b_b32k,unclogging_drains_or_fixing_leaks,0.507,0.493
roberta-ViT-B-32 laion2b_s12b_b32k,participating_in_american_football,0.509,0.491
roberta-ViT-B-32 laion2b_s12b_b32k,playing_poker,0.507,0.493
roberta-ViT-B-32 laion2b_s12b_b32k,tying_a_childs_hair_into_a_ponytail,0.494,0.506
roberta-ViT-B-32 laion2b_s12b_b32k,preparing_harbel_teas,0.5,0.5
roberta-ViT-B-32 laion2b_s12b_b32k,performing_physical_repairs,0.506,0.494
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,handling_barbecue_equipment,0.504,0.496
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,applying_nail_polish,0.488,0.512
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,crafting_homemade_gifts,0.493,0.507
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,shaving_facial_hair,0.504,0.496
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,carving_the_turkey,0.502,0.498
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,doing_pilates,0.491,0.509
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,unclogging_drains_or_fixing_leaks,0.509,0.491
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,participating_in_american_football,0.507,0.493
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,playing_poker,0.507,0.493
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,tying_a_childs_hair_into_a_ponytail,0.493,0.507
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,preparing_harbel_teas,0.496,0.504
xlm-roberta-base-ViT-B-32 laion5b_s13b_b90k,performing_physical_repairs,0.511,0.489
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,handling_barbecue_equipment,0.507,0.493
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,applying_nail_polish,0.492,0.508
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,crafting_homemade_gifts,0.496,0.504
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,shaving_facial_hair,0.505,0.495
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,carving_the_turkey,0.507,0.493
xlm-roberta-large-ViT-H-14 frozen_laion5b_s13b_b90k,doing_pilates,0.494,0.506
