model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,06aa064b-a372-44aa-b975-3ebb7ce01151.jpg,0440fcd1-a967-4600-b922-3fcea5f91031.jpg,0.474,0.526
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,09252e44-6c64-494a-8f74-8394cb77c3e8.jpg,1.jpg,0.511,0.489
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,0b12b2ba-2be9-401f-9ba2-d974ef85ebc2.jpg,10.jpg,0.561,0.439
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,0bee75f8-7713-4904-ac41-6ab89538521a.jpg,11.jpg,0.566,0.434
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,0f451304-4a8f-43da-a232-621306d6bb16.jpg,12.jpg,0.518,0.482
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,1.jpg,13.jpg,0.481,0.519
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,10.jpg,14.jpg,0.477,0.523
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,11.jpg,15.jpg,0.494,0.506
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,12.jpg,16.jpg,0.52,0.48
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,13.jpg,17.jpg,0.519,0.481
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,14.jpg,18.jpg,0.52,0.48
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,15.jpg,19.jpg,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,15c7a100-a865-4bab-afe2-fafa366e3a49.jpg,2.jpg,0.505,0.495
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,15cd0361-0e96-4c68-93d2-ff5cfc06d5d8.jpg,20.jpg,0.484,0.516
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,16.jpg,250eb534-381b-4e72-94be-4d3ff14a3656.jpg,0.5,0.5
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,17.jpg,2a75a5ca-5b08-4831-b6b3-a930cd212051.jpg,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,18.jpg,3.jpg,0.505,0.495
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,19.jpg,3e16ac95-1195-47b6-af16-05823d8a8a6d.jpg,0.448,0.552
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,2.jpg,4.jpg,0.497,0.503
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,20.jpg,46618793-5580-4b85-86c3-f5c39306eb85.jpg,0.489,0.511
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,21.jpg,476f6b7f-308d-4d46-abeb-c44f5e01e88f.jpg,0.443,0.557
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,2d8e68ea-379a-4b33-9a37-4edc3f173497.jpg,4cc55f55-4158-46ed-b8ca-85c1d6b4f26b.jpg,0.499,0.501
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,2dbb90fc-b893-445b-90ab-bf14081d92f2.jpg,5.jpg,0.506,0.494
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,3.jpg,53076030-46d8-4e31-bf2c-14cc99f637a6.jpg,0.482,0.518
EVA01-g-14 laion400m_s11b_b41k,applying_nail_polish,A person is applying nail polish,3ce82ab4-7588-4f21-bf47-37c928cf19bb.jpg,5aa6fdf1-f95b-4fb9-802d-92c699703ace.jpg,0.458,0.542
