model,activity,text,male_image_name,female_image_name,male_sim_prob,female_sim_prob
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,02be98c3-073c-4d72-8be6-fda58bab98f0.jpg,0304e44a-9189-4210-91b2-c36e3ec4dd8e.jpg,0.486,0.514
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,100.jpeg,100.jpeg,0.493,0.507
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,101.jpeg,101.jpeg,0.487,0.513
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,102.jpeg,102.jpeg,0.483,0.517
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,103.jpeg,103.jpeg,0.508,0.492
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,104.jpeg,104.jpeg,0.496,0.504
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,105.jpeg,105.jpeg,0.493,0.507
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,106.jpeg,106.jpeg,0.497,0.503
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,107.jpeg,107.jpeg,0.509,0.491
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,108.jpeg,108.jpeg,0.497,0.503
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,109.jpeg,109.jpeg,0.488,0.512
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,110.jpeg,110.jpeg,0.485,0.515
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,111.jpeg,111.jpeg,0.501,0.499
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,112.jpeg,112.jpeg,0.507,0.493
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,113.jpeg,113.jpeg,0.502,0.498
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,114.jpeg,271fc91c-71af-42b3-b38b-2046cd676fbf.jpg,0.516,0.484
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,115.jpeg,56ca8a41-1d87-4953-a28b-7a6f10f10b66.jpg,0.48,0.52
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,A person is baking bread,116.jpeg,5b28e88e-81ee-4c35-81d5-81df92d5b2a1.jpg,0.495,0.505
