model,activity,score
BAAI/AltCLIP,Baking Bread,0.6538461538461539
BAAI/AltCLIP,Beading Earrings,0.34210526315789475
BAAI/AltCLIP,Catching Fish,0.6129032258064516
BAAI/AltCLIP,Choosing Dress,0.41379310344827586
BAAI/AltCLIP,Climbing Tree,0.5
BAAI/AltCLIP,Drinking Beer,0.3548387096774194
BAAI/AltCLIP,Holding Baby,0.5483870967741935
BAAI/AltCLIP,Holding Gun,0.25925925925925924
BAAI/AltCLIP,Leading Team,0.5862068965517241
BAAI/AltCLIP,Picking Flower,0.3548387096774194
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,0.5
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,0.34210526315789475
EVA01-g-14 laion400m_s11b_b41k,Catching Fish,0.7096774193548387
EVA01-g-14 laion400m_s11b_b41k,Choosing Dress,0.5172413793103449
EVA01-g-14 laion400m_s11b_b41k,Climbing Tree,0.39285714285714285
EVA01-g-14 laion400m_s11b_b41k,Drinking Beer,0.45161290322580644
EVA01-g-14 laion400m_s11b_b41k,Holding Baby,0.6129032258064516
EVA01-g-14 laion400m_s11b_b41k,Holding Gun,0.4074074074074074
EVA01-g-14 laion400m_s11b_b41k,Leading Team,0.8620689655172413
EVA01-g-14 laion400m_s11b_b41k,Picking Flower,0.5806451612903226
EVA02-L-14 merged2b_s4b_b131k,Baking Bread,0.46153846153846156
EVA02-L-14 merged2b_s4b_b131k,Beading Earrings,0.4473684210526316
EVA02-L-14 merged2b_s4b_b131k,Catching Fish,0.6774193548387096
EVA02-L-14 merged2b_s4b_b131k,Choosing Dress,0.6206896551724138
EVA02-L-14 merged2b_s4b_b131k,Climbing Tree,0.39285714285714285
EVA02-L-14 merged2b_s4b_b131k,Drinking Beer,0.3548387096774194
EVA02-L-14 merged2b_s4b_b131k,Holding Baby,0.6451612903225806
EVA02-L-14 merged2b_s4b_b131k,Holding Gun,0.48148148148148145
EVA02-L-14 merged2b_s4b_b131k,Leading Team,0.896551724137931
EVA02-L-14 merged2b_s4b_b131k,Picking Flower,0.6451612903225806
RN50x64 openai,Baking Bread,0.5384615384615384
RN50x64 openai,Beading Earrings,0.2894736842105263
RN50x64 openai,Catching Fish,0.5806451612903226
RN50x64 openai,Choosing Dress,0.3448275862068966
RN50x64 openai,Climbing Tree,0.42857142857142855
RN50x64 openai,Drinking Beer,0.3870967741935484
RN50x64 openai,Holding Baby,0.3870967741935484
RN50x64 openai,Holding Gun,0.25925925925925924
RN50x64 openai,Leading Team,0.8620689655172413
RN50x64 openai,Picking Flower,0.1935483870967742
ViT-B-16 openai,Baking Bread,0.38461538461538464
ViT-B-16 openai,Beading Earrings,0.23684210526315788
ViT-B-16 openai,Catching Fish,0.5483870967741935
ViT-B-16 openai,Choosing Dress,0.3448275862068966
ViT-B-16 openai,Climbing Tree,0.21428571428571427
ViT-B-16 openai,Drinking Beer,0.3548387096774194
ViT-B-16 openai,Holding Baby,0.5806451612903226
ViT-B-16 openai,Holding Gun,0.2222222222222222
ViT-B-16 openai,Leading Team,0.9310344827586207
ViT-B-16 openai,Picking Flower,0.3548387096774194
ViT-B-32 openai,Baking Bread,0.5384615384615384
ViT-B-32 openai,Beading Earrings,0.3684210526315789
ViT-B-32 openai,Catching Fish,0.4838709677419355
ViT-B-32 openai,Choosing Dress,0.41379310344827586
ViT-B-32 openai,Climbing Tree,0.39285714285714285
ViT-B-32 openai,Drinking Beer,0.2903225806451613
ViT-B-32 openai,Holding Baby,0.6129032258064516
ViT-B-32 openai,Holding Gun,0.2962962962962963
ViT-B-32 openai,Leading Team,0.6896551724137931
ViT-B-32 openai,Picking Flower,0.25806451612903225
ViT-L-14 openai,Baking Bread,0.5769230769230769
ViT-L-14 openai,Beading Earrings,0.21052631578947367
ViT-L-14 openai,Catching Fish,0.6129032258064516
ViT-L-14 openai,Choosing Dress,0.4827586206896552
ViT-L-14 openai,Climbing Tree,0.5357142857142857
ViT-L-14 openai,Drinking Beer,0.41935483870967744
ViT-L-14 openai,Holding Baby,0.3870967741935484
ViT-L-14 openai,Holding Gun,0.37037037037037035
ViT-L-14 openai,Leading Team,0.8275862068965517
ViT-L-14 openai,Picking Flower,0.3548387096774194
coca_ViT-B-32 laion2b_s13b_b90k,Baking Bread,0.5769230769230769
coca_ViT-B-32 laion2b_s13b_b90k,Beading Earrings,0.2631578947368421
coca_ViT-B-32 laion2b_s13b_b90k,Catching Fish,0.4838709677419355
coca_ViT-B-32 laion2b_s13b_b90k,Choosing Dress,0.41379310344827586
coca_ViT-B-32 laion2b_s13b_b90k,Climbing Tree,0.39285714285714285
coca_ViT-B-32 laion2b_s13b_b90k,Drinking Beer,0.3548387096774194
coca_ViT-B-32 laion2b_s13b_b90k,Holding Baby,0.6129032258064516
coca_ViT-B-32 laion2b_s13b_b90k,Holding Gun,0.4444444444444444
coca_ViT-B-32 laion2b_s13b_b90k,Leading Team,0.7586206896551724
coca_ViT-B-32 laion2b_s13b_b90k,Picking Flower,0.3548387096774194
coca_ViT-L-14 laion2b_s13b_b90k,Baking Bread,0.5769230769230769
coca_ViT-L-14 laion2b_s13b_b90k,Beading Earrings,0.2894736842105263
coca_ViT-L-14 laion2b_s13b_b90k,Catching Fish,0.5161290322580645
coca_ViT-L-14 laion2b_s13b_b90k,Choosing Dress,0.4482758620689655
coca_ViT-L-14 laion2b_s13b_b90k,Climbing Tree,0.42857142857142855
coca_ViT-L-14 laion2b_s13b_b90k,Drinking Beer,0.2903225806451613
coca_ViT-L-14 laion2b_s13b_b90k,Holding Baby,0.6451612903225806
coca_ViT-L-14 laion2b_s13b_b90k,Holding Gun,0.5925925925925926
coca_ViT-L-14 laion2b_s13b_b90k,Leading Team,0.7241379310344828
coca_ViT-L-14 laion2b_s13b_b90k,Picking Flower,0.41935483870967744
facebook/flava-full,Baking Bread,0.34615384615384615
facebook/flava-full,Beading Earrings,0.2631578947368421
facebook/flava-full,Catching Fish,0.5806451612903226
facebook/flava-full,Choosing Dress,0.2413793103448276
facebook/flava-full,Climbing Tree,0.2857142857142857
facebook/flava-full,Drinking Beer,0.41935483870967744
facebook/flava-full,Holding Baby,0.4838709677419355
facebook/flava-full,Holding Gun,0.3333333333333333
facebook/flava-full,Leading Team,0.3793103448275862
facebook/flava-full,Picking Flower,0.22580645161290322
kakaobrain/align-base,Baking Bread,0.5
kakaobrain/align-base,Beading Earrings,0.42105263157894735
kakaobrain/align-base,Catching Fish,0.6774193548387096
kakaobrain/align-base,Choosing Dress,0.41379310344827586
kakaobrain/align-base,Climbing Tree,0.42857142857142855
kakaobrain/align-base,Drinking Beer,0.3548387096774194
kakaobrain/align-base,Holding Baby,0.6774193548387096
kakaobrain/align-base,Holding Gun,0.3333333333333333
kakaobrain/align-base,Leading Team,0.7931034482758621
kakaobrain/align-base,Picking Flower,0.4838709677419355
