model,activity,score
BAAI/AltCLIP,baking bread,0.36363636363636365
BAAI/AltCLIP,beading earrings,0.6
BAAI/AltCLIP,catching fish,0.16666666666666666
BAAI/AltCLIP,choosing dress,0.4
BAAI/AltCLIP,climbing tree,0.7
BAAI/AltCLIP,drinking beer,0.6923076923076923
BAAI/AltCLIP,holding baby,0.5384615384615384
BAAI/AltCLIP,holding gun,0.6
BAAI/AltCLIP,leading team,0.8181818181818182
BAAI/AltCLIP,picking flower,0.9166666666666666
EVA01-g-14 laion400m_s11b_b41k,baking bread,0.2727272727272727
EVA01-g-14 laion400m_s11b_b41k,beading earrings,0.55
EVA01-g-14 laion400m_s11b_b41k,catching fish,0.08333333333333333
EVA01-g-14 laion400m_s11b_b41k,choosing dress,0.4
EVA01-g-14 laion400m_s11b_b41k,climbing tree,0.6
EVA01-g-14 laion400m_s11b_b41k,drinking beer,0.6153846153846154
EVA01-g-14 laion400m_s11b_b41k,holding baby,0.5384615384615384
EVA01-g-14 laion400m_s11b_b41k,holding gun,0.5
EVA01-g-14 laion400m_s11b_b41k,leading team,0.5454545454545454
EVA01-g-14 laion400m_s11b_b41k,picking flower,0.6666666666666666
EVA01-g-14-plus merged2b_s11b_b114k,baking bread,0.45454545454545453
EVA01-g-14-plus merged2b_s11b_b114k,beading earrings,0.65
EVA01-g-14-plus merged2b_s11b_b114k,catching fish,0.25
EVA01-g-14-plus merged2b_s11b_b114k,choosing dress,0.5
EVA01-g-14-plus merged2b_s11b_b114k,climbing tree,0.9
EVA01-g-14-plus merged2b_s11b_b114k,drinking beer,0.7692307692307693
EVA01-g-14-plus merged2b_s11b_b114k,holding baby,0.7692307692307693
EVA01-g-14-plus merged2b_s11b_b114k,holding gun,0.5
EVA01-g-14-plus merged2b_s11b_b114k,leading team,0.6363636363636364
EVA01-g-14-plus merged2b_s11b_b114k,picking flower,0.4166666666666667
EVA02-B-16 merged2b_s8b_b131k,baking bread,0.45454545454545453
EVA02-B-16 merged2b_s8b_b131k,beading earrings,0.75
EVA02-B-16 merged2b_s8b_b131k,catching fish,0.16666666666666666
EVA02-B-16 merged2b_s8b_b131k,choosing dress,0.4
EVA02-B-16 merged2b_s8b_b131k,climbing tree,0.6
EVA02-B-16 merged2b_s8b_b131k,drinking beer,0.46153846153846156
EVA02-B-16 merged2b_s8b_b131k,holding baby,0.7692307692307693
EVA02-B-16 merged2b_s8b_b131k,holding gun,0.3
EVA02-B-16 merged2b_s8b_b131k,leading team,0.6363636363636364
EVA02-B-16 merged2b_s8b_b131k,picking flower,0.75
EVA02-L-14 merged2b_s4b_b131k,baking bread,0.2727272727272727
EVA02-L-14 merged2b_s4b_b131k,beading earrings,0.5
EVA02-L-14 merged2b_s4b_b131k,catching fish,0.25
EVA02-L-14 merged2b_s4b_b131k,choosing dress,0.4
EVA02-L-14 merged2b_s4b_b131k,climbing tree,0.7
EVA02-L-14 merged2b_s4b_b131k,drinking beer,0.5384615384615384
EVA02-L-14 merged2b_s4b_b131k,holding baby,0.6153846153846154
EVA02-L-14 merged2b_s4b_b131k,holding gun,0.3
EVA02-L-14 merged2b_s4b_b131k,leading team,0.8181818181818182
EVA02-L-14 merged2b_s4b_b131k,picking flower,0.25
EVA02-L-14-336 merged2b_s6b_b61k,baking bread,0.2727272727272727
EVA02-L-14-336 merged2b_s6b_b61k,beading earrings,0.55
EVA02-L-14-336 merged2b_s6b_b61k,catching fish,0.3333333333333333
EVA02-L-14-336 merged2b_s6b_b61k,choosing dress,0.4
EVA02-L-14-336 merged2b_s6b_b61k,climbing tree,0.6
EVA02-L-14-336 merged2b_s6b_b61k,drinking beer,0.7692307692307693
EVA02-L-14-336 merged2b_s6b_b61k,holding baby,0.7692307692307693
EVA02-L-14-336 merged2b_s6b_b61k,holding gun,0.3
EVA02-L-14-336 merged2b_s6b_b61k,leading team,0.8181818181818182
EVA02-L-14-336 merged2b_s6b_b61k,picking flower,0.3333333333333333
RN50x64 openai,baking bread,0.36363636363636365
RN50x64 openai,beading earrings,0.6
RN50x64 openai,catching fish,0.4166666666666667
RN50x64 openai,choosing dress,0.6
RN50x64 openai,climbing tree,0.7
RN50x64 openai,drinking beer,0.38461538461538464
RN50x64 openai,holding baby,0.6153846153846154
RN50x64 openai,holding gun,0.6
RN50x64 openai,leading team,0.2727272727272727
RN50x64 openai,picking flower,0.8333333333333334
ViT-B-16 openai,baking bread,0.5454545454545454
ViT-B-16 openai,beading earrings,0.65
ViT-B-16 openai,catching fish,0.25
ViT-B-16 openai,choosing dress,0.3
ViT-B-16 openai,climbing tree,0.8
ViT-B-16 openai,drinking beer,0.7692307692307693
ViT-B-16 openai,holding baby,0.5384615384615384
ViT-B-16 openai,holding gun,0.7
ViT-B-16 openai,leading team,0.18181818181818182
ViT-B-16 openai,picking flower,0.8333333333333334
ViT-B-32 laion2b_s34b_b79k,baking bread,0.45454545454545453
ViT-B-32 laion2b_s34b_b79k,beading earrings,0.5
ViT-B-32 laion2b_s34b_b79k,catching fish,0.5833333333333334
ViT-B-32 laion2b_s34b_b79k,choosing dress,0.2
ViT-B-32 laion2b_s34b_b79k,climbing tree,0.8
ViT-B-32 laion2b_s34b_b79k,drinking beer,0.38461538461538464
ViT-B-32 laion2b_s34b_b79k,holding baby,0.6153846153846154
ViT-B-32 laion2b_s34b_b79k,holding gun,0.4
ViT-B-32 laion2b_s34b_b79k,leading team,0.5454545454545454
ViT-B-32 laion2b_s34b_b79k,picking flower,0.8333333333333334
ViT-B-32 laion400m_e31,baking bread,0.5454545454545454
ViT-B-32 laion400m_e31,beading earrings,0.5
ViT-B-32 laion400m_e31,catching fish,0.4166666666666667
ViT-B-32 laion400m_e31,choosing dress,0.5
ViT-B-32 laion400m_e31,climbing tree,0.7
ViT-B-32 laion400m_e31,drinking beer,0.46153846153846156
ViT-B-32 laion400m_e31,holding baby,0.7692307692307693
ViT-B-32 laion400m_e31,holding gun,0.6
ViT-B-32 laion400m_e31,leading team,0.5454545454545454
ViT-B-32 laion400m_e31,picking flower,0.5833333333333334
ViT-B-32 negCLIP.pt,baking bread,0.36363636363636365
ViT-B-32 negCLIP.pt,beading earrings,0.45
ViT-B-32 negCLIP.pt,catching fish,0.3333333333333333
ViT-B-32 negCLIP.pt,choosing dress,0.4
ViT-B-32 negCLIP.pt,climbing tree,0.8
ViT-B-32 negCLIP.pt,drinking beer,0.6923076923076923
ViT-B-32 negCLIP.pt,holding baby,0.8461538461538461
ViT-B-32 negCLIP.pt,holding gun,0.7
